ID,MovieName,Year,Rate,PosterImageURL,TrailerURL,ContentRating,Duration,Language,Country,AspectRatio,Genre,IMDbMovieURL,Keywords
514410,Ice: The Movie,2018,8.2,https://image.tmdb.org/t/p/w500/dXjQxjOQ9JexRTsVCgxVATE5s0l.jpg,https://www.youtube.com/watch?v=QLc8ufjUv_o,,98,en,United States of America,N/A,Drama,https://www.imdb.com/title/tt5748106,"figure skating, ice skating"
523359,Pocoyo in cinemas: Your First Movie,2018,5.7,https://image.tmdb.org/t/p/w500/7L5t5y5pZIK5fLlGBhhGvhYonC9.jpg,https://www.youtube.com/watch?v=Xcxk-h3BeDc,NR,50,es,Spain,N/A,"Animation, Adventure",https://www.imdb.com/title/tt10499426,pocoyo
280217,The Lego Movie 2: The Second Part,2019,6.666,https://image.tmdb.org/t/p/w500/QTESAsBVZwjtGJNDP7utiGV37z.jpg,https://www.youtube.com/watch?v=cksYkEzUa7k,PG,107,en,Canada,N/A,"Action, Adventure, Animation, Comedy, Family",https://www.imdb.com/title/tt3513498,"villain, sequel, based on toy, live action and animation, lego"
454640,The Angry Birds Movie 2,2019,7.1,https://image.tmdb.org/t/p/w500/dz3AjGWAPV4cK8lRDY0DdaVfGUK.jpg,https://www.youtube.com/watch?v=RDj8Y2K0ODA,PG,97,en,Finland,N/A,"Animation, Action, Fantasy, Adventure, Comedy, Family",https://www.imdb.com/title/tt6095472,"island, rivalry, sequel, family, animal kingdom, cliché"
584962,Between Two Ferns: The Movie,2019,5.953,https://image.tmdb.org/t/p/w500/cHxc8v1GkzdjjhF2qnpG6wdXrOT.jpg,https://www.youtube.com/watch?v=OjljgkCQv5c,R,82,en,United States of America,N/A,Comedy,https://www.imdb.com/title/tt9398640,"interview, celebrity, cringe comedy, celebrity guest"
538225,Deadwood: The Movie,2019,6.748,https://image.tmdb.org/t/p/w500/fCQ13cqd02dop7Chkov0fPl4r3t.jpg,https://www.youtube.com/watch?v=ejqSTxm8Fws,R,110,en,United States of America,N/A,"Western, Drama",https://www.imdb.com/title/tt4943998,"rivalry, based on tv series"
422803,A Shaun the Sheep Movie: Farmageddon,2019,6.925,https://image.tmdb.org/t/p/w500/p08FoXVFgcRm5QZBaGj0VKa2W2Y.jpg,https://www.youtube.com/watch?v=aRVEm-yrm-k,G,87,en,France,N/A,"Family, Animation, Adventure, Comedy, Science Fiction",https://www.imdb.com/title/tt6193408,"sheep, sequel, stop motion, aftercreditsstinger, claymation, sheep farm, plasticine"
537061,Steven Universe: The Movie,2019,8.158,https://image.tmdb.org/t/p/w500/8mRgpubxHqnqvENK4Bei30xMDvy.jpg,https://www.youtube.com/watch?v=9FGyVAIRI-4,PG,82,en,United States of America,N/A,"TV Movie, Adventure, Animation, Comedy, Fantasy, Music, Science Fiction, Action, Drama",https://www.imdb.com/title/tt10515852,"musical, memory loss, abandonment, vengeance, abandonment issues"
366668,Playmobil: The Movie,2019,5.644,https://image.tmdb.org/t/p/w500/zPQzLZnfVw9fbXyxxglyOsmQBlu.jpg,https://www.youtube.com/watch?v=xgyP9GG9Ecw,PG,99,en,Canada,N/A,"Family, Animation, Comedy, Adventure",https://www.imdb.com/title/tt4199898,"playmobil, live action and animation, provocative"
608654,The Banana Splits Movie,2019,6.555,https://image.tmdb.org/t/p/w500/vG9FY2wHVwOOQfqNlUt2LbRzRNl.jpg,https://www.youtube.com/watch?v=0R1-ZZTcTBY,R,89,en,United States of America,N/A,"Horror, Thriller, Comedy",https://www.imdb.com/title/tt9831136,"gore, woman director, television / tv studio, evil scientist, based on tv series"
